Opening Time,Type [buy/sell],Symbol,Setup,Size / Quantity,Closing Time,Entry Price,Closing Price,Swap,Commission,Net Profit,Stop Loss (optional),Take Profit(optional),Highest price (optional),Lowest price (optional)
2025-01-03 15:18:00,Sell,XAUUSD,Default Setup,0.1,2025-01-03 15:20:00,2652.98,2651.45,0.0,0.0,15.3,2658.98,2651.48,,
2025-01-03 14:29:00,Sell,XAUUSD,Default Setup,0.1,2025-01-03 15:19:00,2655.35,2652.35,0.0,0.0,30.0,2661.35,2652.35,,
2025-01-03 14:29:00,Sell,XAUUSD,Default Setup,0.1,2025-01-03 15:04:00,2655.36,2653.85,0.0,0.0,15.1,2661.36,2653.86,,
2025-01-02 16:30:00,Buy,XAUUSD,Default Setup,0.1,2025-01-02 17:34:00,2648.97,2651.99,0.0,0.0,30.2,2642.97,2651.97,,
2025-01-02 16:30:00,Buy,XAUUSD,Default Setup,0.1,2025-01-02 16:46:00,2648.95,2650.51,0.0,0.0,15.6,2642.95,2650.45,,
2025-01-02 16:13:00,Buy,XAUUSD,Default Setup,0.1,2025-01-02 16:36:00,2645.37,2647.08,0.0,0.0,17.1,2639.49,2651.49,,
2025-01-02 16:13:00,Buy,XAUUSD,Default Setup,0.1,2025-01-02 16:15:00,2645.46,2648.48,0.0,0.0,30.2,2639.46,2648.46,,
2025-01-02 16:13:00,Buy,XAUUSD,Default Setup,0.1,2025-01-02 16:14:00,2645.37,2647.0,0.0,0.0,16.3,2639.49,2646.99,,
2025-01-02 15:29:00,Buy,XAUUSD,Default Setup,0.1,2025-01-02 15:50:00,2641.13,2644.14,0.0,0.0,30.1,2635.13,2644.13,,
2025-01-02 13:25:00,Sell,XAUUSD,Default Setup,0.1,2025-01-02 15:13:00,2641.66,2638.66,0.0,0.0,30.0,2647.66,2638.66,,
2025-01-02 13:25:00,Sell,XAUUSD,Default Setup,0.1,2025-01-02 15:13:00,2641.69,2640.0,0.0,0.0,16.9,2647.69,2640.19,,
2024-12-31 20:33:00,Withdrawal,,Default Setup,0.01,,0.0,0.0,0.0,0.0,-6000.0,0.0,0.0,,
2024-12-31 16:33:00,Buy,XAUUSD,Default Setup,0.1,2024-12-31 17:32:00,2614.75,2620.85,0.0,0.0,61.0,2608.75,2620.75,,
2024-12-31 16:33:00,Buy,XAUUSD,Default Setup,0.1,2024-12-31 16:37:00,2614.7,2617.73,0.0,0.0,30.3,2608.7,2617.7,,
2024-12-31 16:33:00,Buy,XAUUSD,Default Setup,0.1,2024-12-31 16:36:00,2614.75,2616.3,0.0,0.0,15.5,2608.75,2616.25,,
2024-12-31 15:23:00,Buy,XAUUSD,Default Setup,0.1,2024-12-31 15:26:00,2610.26,2613.27,0.0,0.0,30.1,2604.26,2613.26,,
2024-12-31 15:23:00,Buy,XAUUSD,Default Setup,0.1,2024-12-31 15:24:00,2610.26,2611.78,0.0,0.0,15.2,2604.26,2611.76,,
2024-12-31 13:27:00,Sell,XAUUSD,Default Setup,0.1,2024-12-31 15:22:00,2609.94,2609.36,0.0,0.0,5.8,2615.9,2603.9,,
2024-12-31 13:27:00,Sell,XAUUSD,Default Setup,0.1,2024-12-31 15:11:00,2609.94,2608.4,0.0,0.0,15.4,2615.9,2608.4,,
2024-12-31 13:07:00,Buy,XAUUSD,Default Setup,0.1,2024-12-31 15:08:00,2614.31,2608.3,0.0,0.0,-60.1,2608.31,2617.31,,
2024-12-30 16:47:00,Buy,XAUUSD,Default Setup,0.1,2024-12-30 16:56:00,2608.73,2611.74,0.0,0.0,30.1,2602.74,2611.74,,
2024-12-30 16:45:00,Buy,XAUUSD,Default Setup,0.1,2024-12-30 16:53:00,2608.83,2610.33,0.0,0.0,15.0,2602.83,2610.33,,
2024-12-30 16:31:00,Sell,XAUUSD,Default Setup,0.1,2024-12-30 16:50:00,2609.82,2609.34,0.0,0.0,4.8,2615.82,2603.82,,
2024-12-30 16:31:00,Sell,XAUUSD,Default Setup,0.1,2024-12-30 16:42:00,2609.87,2606.87,0.0,0.0,30.0,2615.87,2606.87,,
2024-12-30 16:31:00,Sell,XAUUSD,Default Setup,0.1,2024-12-30 16:33:00,2609.82,2607.96,0.0,0.0,18.6,2615.82,2608.32,,
2024-12-30 16:05:00,Buy,XAUUSD,Default Setup,0.1,2024-12-30 16:15:00,2609.18,2612.2,0.0,0.0,30.2,2603.18,2612.18,,
2024-12-30 16:05:00,Buy,XAUUSD,Default Setup,0.1,2024-12-30 16:08:00,2609.29,2610.78,0.0,0.0,14.9,2603.26,2610.76,,
2024-12-30 15:53:00,Sell,XAUUSD,Default Setup,0.1,2024-12-30 16:05:00,2610.48,2610.19,0.0,0.0,2.9,2616.48,2604.48,,
2024-12-30 15:53:00,Sell,XAUUSD,Default Setup,0.1,2024-12-30 15:58:00,2610.69,2607.68,0.0,0.0,30.1,2616.69,2607.69,,
2024-12-30 15:53:00,Sell,XAUUSD,Default Setup,0.1,2024-12-30 15:58:00,2610.48,2608.78,0.0,0.0,17.0,2616.48,2608.98,,
2024-12-30 14:52:00,Buy,XAUUSD,Default Setup,0.1,2024-12-30 15:38:00,2621.21,2615.04,0.0,0.0,-61.7,2615.24,2627.24,,
2024-12-30 15:13:00,Sell,XAUUSD,Default Setup,0.1,2024-12-30 15:36:00,2619.03,2616.03,0.0,0.0,30.0,2625.03,2616.03,,
2024-12-30 13:43:00,Buy,XAUUSD,Default Setup,0.1,2024-12-30 14:52:00,2618.49,2621.52,0.0,0.0,30.3,2612.49,2621.49,,
2024-12-30 13:42:00,Buy,XAUUSD,Default Setup,0.1,2024-12-30 14:44:00,2618.51,2620.01,0.0,0.0,15.0,2612.51,2620.01,,
2024-12-30 13:11:00,Buy,XAUUSD,Default Setup,0.1,2024-12-30 14:00:00,2613.19,2615.63,0.0,0.0,24.4,2607.19,2619.19,,
2024-12-30 13:11:00,Buy,XAUUSD,Default Setup,0.1,2024-12-30 13:29:00,2613.18,2616.19,0.0,0.0,30.1,2607.18,2616.18,,
2024-12-30 13:11:00,Buy,XAUUSD,Default Setup,0.1,2024-12-30 13:20:00,2613.19,2614.72,0.0,0.0,15.3,2607.19,2614.69,,
2024-12-27 16:04:00,Sell,XAUUSD,Default Setup,0.1,2024-12-27 16:40:00,2616.06,2615.63,0.0,0.0,4.3,2621.97,2609.97,,
2024-12-27 15:38:00,Sell,XAUUSD,Default Setup,0.1,2024-12-27 16:10:00,2618.26,2615.2,0.0,0.0,30.6,2624.26,2615.26,,
2024-12-27 15:38:00,Sell,XAUUSD,Default Setup,0.1,2024-12-27 16:04:00,2618.26,2616.55,0.0,0.0,17.1,2624.26,2616.76,,
2024-12-27 15:20:00,Sell,XAUUSD,Default Setup,0.1,2024-12-27 15:29:00,2623.35,2620.34,0.0,0.0,30.1,2629.35,2620.35,,
2024-12-27 15:20:00,Sell,XAUUSD,Default Setup,0.1,2024-12-27 15:23:00,2623.18,2621.66,0.0,0.0,15.2,2629.18,2621.68,,
2024-12-27 14:28:00,Sell,XAUUSD,Default Setup,0.1,2024-12-27 15:07:00,2628.06,2622.02,0.0,0.0,60.4,2634.06,2622.06,,
2024-12-27 15:05:00,Sell,XAUUSD,Default Setup,0.1,2024-12-27 15:07:00,2623.84,2622.18,0.0,0.0,16.6,2629.84,2622.34,,
2024-12-27 14:28:00,Sell,XAUUSD,Default Setup,0.1,2024-12-27 15:02:00,2628.07,2625.06,0.0,0.0,30.1,2634.07,2625.07,,
2024-12-27 14:28:00,Sell,XAUUSD,Default Setup,0.1,2024-12-27 14:55:00,2628.06,2626.47,0.0,0.0,15.9,2634.06,2626.56,,
2024-12-26 16:55:00,Buy,XAUUSD,Default Setup,0.1,2024-12-26 17:13:00,2628.78,2634.78,0.0,0.0,60.0,2622.77,2634.77,,
